Red_fighter,Blue_fighter,Winner,Weight_class,Blue_avg_SIG_STR_landed,Red_avg_SIG_STR_landed,Blue_avg_TOTAL_STR_landed,Red_avg_TD_landed,Blue_avg_TD_landed,Red_avg_TD_landed,Blue_avg_HEAD_landed,Red_avg_HEAD_landed,Blue_avg_BODY_landed,Red_avg_BODY_landed,Blue_Height_cms,Red_Height_cms,Blue_Reach_cms,Red_Reach_cms,Blue_Weight_lbs,Red_Weight_lbs,Blue_age,Red_age
Adrian Yanez,Gustavo Lopez,Red,Bantamweight,20,17,41,0,1,0,11,15,7,2,165.1,170.18,170.18,177.8,135,135,31,27
Trevin Giles,Roman Dolidze,Red,Middleweight,35,43.15625,68.5,0.78125,1.5,0.78125,20,38.0625,8,3.3125,187.96,182.88,193.04,187.96,205,185,32,28
Tai Tuivasa,Harry Hunsucker,Red,Heavyweight,,30.375,,0,,0,,16.78125,,4.546875,187.96,187.96,190.5,190.5,241,264,32,28
Cheyanne Buys,Montserrat Conejo,Blue,WomenStrawweight,,,,,,,,,,,152.4,160.02,154.94,160.02,115,115,28,25
Marion Reneau,Macy Chiasson,Blue,WomenBantamweight,57.9375,44.36230469,105.625,1.26171875,1.5,1.26171875,31.375,26.03027344,26.1875,13.46972656,180.34,167.64,182.88,172.72,135,135,29,43
Leonardo Santos,Grant Dawson,Blue,Lightweight,40.75,42.1875,93.5,0.6328125,2.625,0.6328125,23.125,32.28125,4.5,5.9453125,177.8,182.88,182.88,190.5,145,155,27,41
Song Kenan,Max Griffin,Blue,Welterweight,60.11328125,33.5,78.32421875,0,1.453125,0,38.81445313,23.375,14.41992188,5.875,180.34,182.88,193.04,180.34,170,170,35,31
Derek Brunson,Kevin Holland,Red,Middleweight,26.078125,72.17990112,47.79101563,3.008209229,0.529296875,3.008209229,19.921875,46.65184021,2.685546875,15.4604187,190.5,185.42,205.74,195.58,185,185,28,37
Montel Jackson,Jesse Strader,Red,Bantamweight,,43,,4.25,,4.25,,31.8125,,8.3125,170.18,177.8,177.8,190.5,135,135,29,28
Bruno Silva,JP Buys,Red,Flyweight,,39.75,,3.25,,3.25,,18.5,,10,165.1,182.88,170.18,,125,185,24,31
Manel Kape,Matheus Nicolau,Blue,Flyweight,36.125,49,47,2,1.125,2,18.25,36,13,8,167.64,165.1,167.64,172.72,125,125,28,27
Misha Cirkunov,Ryan Spann,Blue,LightHeavyweight,22.0625,6.90625,24.0625,0.6875,1.5625,0.6875,18.5625,3.94921875,3.4375,2.5625,195.58,190.5,200.66,195.58,205,205,29,34
Leon Edwards,Belal Muhammad,Draw,Welterweight,98.19970703,68.74414063,112.0332031,2.234375,1.451660156,2.234375,79.14746094,48.3828125,15.45458984,13.32226563,180.34,187.96,182.88,187.96,170,170,32,29
Charles Jourdain,Marcelo Rojo,Red,Featherweight,,52.375,,0,,0,,21.125,,13.375,172.72,175.26,180.34,175.26,145,145,32,25
Eryk Anders,Darren Stewart,Draw,Middleweight,42.63085938,42.05859375,66.49609375,0.111328125,1.673828125,0.111328125,24.19628906,21.9375,4.48828125,15.31835938,182.88,185.42,187.96,190.5,185,185,30,33
Angela Hill,Ashley Yoder,Red,WomenStrawweight,33.734375,103.708313,121.1953125,0.206298828,1.375,0.206298828,22.0625,67.7644043,6.7421875,33.17245483,170.18,160.02,175.26,162.56,115,115,33,36
Jonathan Martinez,Davey Grant,Blue,Bantamweight,50.0625,70.1875,59.34375,0.3125,2.65625,0.3125,28.625,45.59375,13.96875,19.3125,172.72,172.72,175.26,177.8,135,135,35,26
Dan Ige,Gavin Tucker,Red,Featherweight,84.25,73.21875,96.0625,0.53125,4.4375,0.53125,54.3125,39.875,23.1875,22.125,167.64,170.18,167.64,180.34,145,145,34,29
Nasrat Haqparast,Rafa Garcia,Red,Lightweight,,67.875,,0.03125,,0.03125,,58.65625,,7.875,170.18,177.8,177.8,182.88,155,155,26,25
Cortney Casey,JJ Aldrich,Blue,WomenFlyweight,56.828125,32.12548828,65.984375,0.064453125,0.28125,0.064453125,45.15625,21.55859375,8.359375,3.4296875,165.1,170.18,170.18,170.18,125,125,28,33
Matthew Semelsberger,Jason Witt,Red,Welterweight,11,118,26,2,1,2,8.5,79,1,16,177.8,185.42,177.8,190.5,170,170,34,28
Rani Yahya,Ray Rodriguez,Red,Bantamweight,1,26.63063049,1,1.250137329,1,1.250137329,0,14.290802,0,6.249954224,170.18,167.64,177.8,170.18,135,135,33,36
Gloria de Paula,Jinh Yu Frey,Blue,WomenStrawweight,26,,33,,0.5,,14,,4,,160.02,165.1,165.1,170.18,115,115,35,25
Dominick Cruz,Casey Kenney,Red,Bantamweight,97.90625,59.53125,99.875,0.90625,1.125,0.90625,55.4375,37.8125,24.90625,8.65625,170.18,172.72,172.72,172.72,140,135,29,35
Song Yadong,Kyler Phillips,Blue,Bantamweight,60.5,65.40625,73,0.15625,2,0.15625,44,49.9375,9,7.6875,172.72,172.72,182.88,170.18,135,145,25,23
Petr Yan,Aljamain Sterling,Blue,Bantamweight,63.05957031,126.828125,74.24584961,1.34375,0.237915039,1.34375,38.44311523,96.984375,15.8223877,23.859375,170.18,170.18,180.34,170.18,135,135,31,28
Jan Blachowicz,Israel Adesanya,Red,LightHeavyweight,54.90234375,36.394104,55.73046875,0.04309082,0,0.04309082,24.96875,21.9309082,7.0859375,5.720458984,193.04,187.96,203.2,198.12,185,205,31,38
Thiago Santos,Aleksandar Rakic,Blue,LightHeavyweight,47.625,44.54456902,105.125,0.266143799,0.34375,0.266143799,24.5625,28.63368607,8.59375,4.301019669,193.04,187.96,198.12,193.04,205,205,29,37
Joseph Benavidez,Askar Askarov,Blue,Flyweight,46.25,31.08330917,59.25,0.504957199,2,0.504957199,35.75,16.48520279,2.5,7.451547623,167.64,162.56,170.18,165.1,125,125,28,36
Amanda Nunes,Megan Anderson,Red,WomenFeatherweight,8.1875,90.39160156,25.3125,5.129516602,0.25,5.129516602,6.8125,65.39221191,1.375,9.487182617,182.88,172.72,182.88,175.26,145,145,31,32
Islam Makhachev,Drew Dober,Red,Lightweight,42.12597656,27.875,46.98693848,1.3671875,0.067382813,1.3671875,32.88763428,20.0859375,4.716918945,5.5234375,172.72,177.8,177.8,177.8,155,155,32,29
Tim Elliott,Jordan Espinosa,Red,Flyweight,60,46.34509277,75.5,2.086303711,0.5625,2.086303711,32.6875,20.25024414,11.625,11.27172852,167.64,170.18,175.26,167.64,125,125,31,34
Livinha Souza,Amanda Lemos,Blue,WomenStrawweight,60.5,32.875,72,1.625,1.5,1.625,37.75,12.125,17,7.375,162.56,160.02,165.1,160.02,115,115,33,29
Rogerio Bontorin,Kai Kara-France,Blue,Flyweight,50.9375,16.5,53.34375,0.75,0.125,0.75,32.84375,9.75,5.375,5.25,162.56,165.1,175.26,170.18,125,125,27,28
Uros Medic,Aalon Cruz,Red,Lightweight,2,,2,,0,,2,,0,,182.88,185.42,198.12,180.34,145,155,31,27
Kennedy Nzechukwu,Carlos Ulberg,Red,LightHeavyweight,,45,,0,,0,,35.5,,8.5,193.04,195.58,195.58,210.82,205,205,30,28
Sean Brady,Jake Matthews,Red,Welterweight,54.81323242,58.5,76.14660645,2.5,1.606811523,2.5,47.30029297,36.75,4.764526367,3.25,180.34,177.8,185.42,182.88,170,170,26,28
Mario Bautista,Trevin Jones,Blue,Bantamweight,26,43.5,31,0.25,1,0.25,21,33,3,7.5,170.18,175.26,177.8,175.26,140,135,30,27
Jairzinho Rozenstruik,Ciryl Gane,Blue,Heavyweight,59.375,34.40625,61.625,0,0.375,0,22.625,19.1875,18.25,2.53125,193.04,193.04,205.74,198.12,245,242,30,32
Montana De La Rosa,Mayra Bueno Silva,Draw,WomenFlyweight,25.75,54.25,27.5,1.5,0,1.5,14,36.15625,5.5,8.84375,167.64,170.18,167.64,172.72,135,125,29,26
Vince Cachero,Ronnie Lawrence,Blue,Bantamweight,,76,,0,,0,,58,,10,172.72,167.64,172.72,172.72,135,145,28,31
